Review,Rating,Product,Category
Laptop battery drains fast and heats up quickly.,2,HP Laptop,Electronics
Excellent smartwatch quality and smooth performance.,5,Smart Watch,Electronics
Delivery delayed and package arrived damaged.,1,Wireless Earbuds,Electronics
Shoes are comfortable and fit perfectly.,5,Running Shoes,Fashion
Fabric quality is poor after one wash.,2,T-Shirt,Fashion
Grocery items were fresh and delivered on time.,5,Grocery Pack,Grocery
Mobile phone camera quality is disappointing.,2,Smartphone,Electronics
Amazing sound quality and battery backup.,5,Bluetooth Speaker,Electronics
Product stopped working after two days.,1,Smart Watch,Electronics
Great cricket bat with excellent grip.,4,Cricket Bat,Sports
